kind,bucket,n,hit,avg,sharpe_like
lstm,p50,1469,0.0,-0.010853156447410583,-10315.870439215429
lstm,p60,1469,0.0,-0.010853156447410583,-10315.870439215429
lstm,p70,1324,0.0,-0.010853041894733906,-11083.34808839245
lstm,p80,897,0.0,-0.010852886363863945,-13743.045493046544
lstm,p90,491,0.0,-0.010852912440896034,-13497.55464345139
lstm,p95,241,0.0,-0.01085289753973484,-14124.734579853011
tcn,p50,187,0.0,-0.1476132869720459,-104.09479469625902
tcn,p60,32,0.0,-0.14500568807125092,-127.97123940018368
tcn,p70,0,nan,nan,nan
tcn,p80,0,nan,nan,nan
tcn,p90,0,nan,nan,nan
tcn,p95,0,nan,nan,nan
tx,p50,548,0.7171532846715328,0.006753451656550169,0.5326353251951392
tx,p60,262,0.7251908396946565,0.006897199433296919,0.5320056296211811
tx,p70,0,nan,nan,nan
tx,p80,0,nan,nan,nan
tx,p90,0,nan,nan,nan
tx,p95,0,nan,nan,nan
