kind,bucket,n,hit,avg,sharpe_like
lstm,p50,1469,0.0,-0.010853156447410583,-10315.870439215429
lstm,p60,1469,0.0,-0.010853156447410583,-10315.870439215429
lstm,p70,1469,0.0,-0.010853156447410583,-10315.870439215429
lstm,p80,1469,0.0,-0.010853156447410583,-10315.870439215429
lstm,p90,304,0.0,-0.010852895677089691,-14529.237380242546
lstm,p95,0,nan,nan,nan
tcn,p50,1284,0.0,-0.15153758227825165,-68.81893572188254
tcn,p60,419,0.0,-0.14896619319915771,-94.21940532157805
tcn,p70,12,0.0,-0.1438063681125641,-152.84195099840088
tcn,p80,0,nan,nan,nan
tcn,p90,0,nan,nan,nan
tcn,p95,0,nan,nan,nan
tx,p50,6543,0.8485404248815528,0.05463423579931259,0.8725545503895962
tx,p60,5549,0.8484411605694719,0.057966507971286774,0.8918251749781863
tx,p70,4097,0.8450085428362216,0.06377562880516052,0.9082439942565195
tx,p80,2250,0.7902222222222223,0.06309513002634048,0.761677905140354
tx,p90,1562,0.734955185659411,0.0574997141957283,0.6353293026627116
tx,p95,930,0.6397849462365591,0.04421907290816307,0.4412959175769039
